source	Destination	Price	total cost
San Francisco, CA	Austin, TX	1773	
San Francisco, CA	Charlotte, NC	1766	
San Francisco, CA	Seattle, WA	1745	
San Francisco, CA	Jacksonville, FL	1734	
San Francisco, CA	San Antonio, TX	1731	
San Francisco, CA	Dallas, TX	1731	
San Francisco, CA	Fort Worth, TX	1716	
San Francisco, CA	Columbus, OH	1702	
San Francisco, CA	Nashville, TN	1658	
San Francisco, CA	Portland, OR	1641	
San Francisco, CA	Louisville, KY	1635	
San Francisco, CA	Denver, CO	1585	
San Francisco, CA	Detroit, MI	1577	
San Francisco, CA	Milwaukee, WI	1567	
San Francisco, CA	Chicago, IL	1547	
San Francisco, CA	Indianapolis, IN	1525	
San Francisco, CA	Memphis, TN	1510	
San Francisco, CA	El Paso, TX	1494	
San Francisco, CA	Albuquerque, NM	1420	
San Francisco, CA	Oklahoma City, OK	1207	
San Francisco, CA	Tucson, AZ	1066	
San Francisco, CA	Phoenix, AZ	968	
San Francisco, CA	Las Vegas, NV	806	
San Francisco, CA	San Diego, CA	477	
San Francisco, CA	Los Angeles, CA	391	
San Francisco, CA	Fresno, CA	251	
San Francisco, CA	San Jose, CA	115	52030
San Diego, CA	Philadelphia, PA	2673	
San Diego, CA	Washington, DC	2640	
San Diego, CA	Baltimore, MD	2638	
San Diego, CA	Boston, MA	2606	
San Diego, CA	New York, NY	2444	
San Diego, CA	Charlotte, NC	2424	
San Diego, CA	Detroit, MI	2399	
San Diego, CA	Columbus, OH	2344	
San Diego, CA	Louisville, KY	2231	
San Diego, CA	Indianapolis, IN	2224	
San Diego, CA	Nashville, TN	2178	
San Diego, CA	Jacksonville, FL	2151	
San Diego, CA	Memphis, TN	2029	
San Diego, CA	Milwaukee, WI	1971	
San Diego, CA	Chicago, IL	1947	
San Diego, CA	Seattle, WA	1791	
San Diego, CA	Oklahoma City, OK	1665	
San Diego, CA	Portland, OR	1641	
San Diego, CA	Houston, TX	1589	
San Diego, CA	Dallas, TX	1508	
San Diego, CA	Austin, TX	1500	
San Diego, CA	Fort Worth, TX	1491	
San Diego, CA	San Antonio, TX	1450	
San Diego, CA	Denver, CO	1440	
San Diego, CA	Albuquerque, NM	779	
San Diego, CA	El Paso, TX	765	
San Diego, CA	San Francisco, CA	461	
San Diego, CA	San Jose, CA	434	
San Diego, CA	Tucson, AZ	396	
San Diego, CA	Phoenix, AZ	375	
San Diego, CA	Las Vegas, NV	327	
San Diego, CA	Fresno, CA	319	
San Diego, CA	Los Angeles, CA	105	52935
San Antonio, TX	Portland, OR	1302	
San Antonio, TX	Seattle, WA	1133	
San Antonio, TX	Detroit, MI	888	
San Antonio, TX	Charlotte, NC	879	
San Antonio, TX	San Francisco, CA	838	
San Antonio, TX	Boston, MA	838	
San Antonio, TX	Washington, DC	836	
San Antonio, TX	Baltimore, MD	835	
San Antonio, TX	Las Vegas, NV	828	
San Antonio, TX	San Jose, CA	826	
San Antonio, TX	Columbus, OH	820	
San Antonio, TX	Fresno, CA	784	
San Antonio, TX	Indianapolis, IN	761	
San Antonio, TX	Denver, CO	742	
San Antonio, TX	Louisville, KY	734	
San Antonio, TX	Philadelphia, PA	710	
